wave flux
3516.22 0.0
3516.27 0.0
3516.32 0.0
3516.37 0.0
3516.42 0.0
3516.47 0.0
3516.52 0.0
3516.57 0.0
3516.62 0.0
3516.67 0.0
3516.72 0.0
3516.77 0.0
3516.82 0.0
3516.87 0.0
3516.92 0.0
3516.97 0.0
3517.02 0.0
3517.07 0.0
3517.12 0.0
3517.17 0.0
3517.22 0.0
3517.27 0.0
3517.32 0.0
3517.37 0.0
3517.42 0.0
3517.47 0.0
3517.52 0.0
3517.57 0.0
3517.62 0.0
3517.67 0.0
3517.72 0.0
3517.77 0.0
3517.82 0.0
3517.87 0.0
3517.92 0.0
3517.97 0.0
3518.02 0.0
3518.07 0.0
3518.12 0.0
3518.17 0.0
3518.22 0.0
3518.27 0.0
3518.32 0.0
3518.37 0.0
3518.42 0.0
3518.47 0.0
3518.52 0.0
3518.57 0.0
3518.62 0.0
3518.67 0.0
3518.72 0.0
3518.77 0.0
3518.82 0.0
3518.87 0.0
3518.92 0.0
3518.97 0.0
3519.02 0.0
3519.07 0.0
3519.12 0.0
3519.17 0.0
3519.22 0.0
3519.27 0.0
3519.32 0.0
3519.37 0.0
3519.42 0.0
3519.47 0.0
3519.52 0.0
3519.57 0.0
3519.62 0.0
3519.67 0.0
3519.72 0.0
3519.77 0.0
3519.82 0.0
3519.87 0.0
3519.92 0.0
3519.97 0.0
3520.02 0.0
3520.07 0.0
3520.12 0.0
3520.17 0.0
3520.22 0.0
3520.27 0.0
3520.32 0.0
3520.37 0.0
3520.42 0.0
3520.47 10.006395474098355
3520.52 0.0
3520.57 0.0
3520.62 0.0
3520.67 0.0
3520.72 0.0
3520.77 0.0
3520.82 0.0
3520.87 0.0
3520.92 0.0
3520.97 0.0
3521.02 0.0
3521.07 0.0
3521.12 0.0
3521.17 0.0
3521.22 0.0
3521.27 0.0
3521.32 0.0
3521.37 0.0
3521.42 0.0
3521.47 0.0
3521.52 0.0
3521.57 0.0
3521.62 0.0
3521.67 0.0
3521.72 0.0
3521.77 0.0
3521.82 0.0
3521.87 0.0
3521.92 0.0
3521.97 0.0
3522.02 0.0
3522.07 0.0
3522.12 0.0
3522.17 0.0
3522.22 0.0
3522.27 0.0
3522.32 0.0
3522.37 0.0
3522.42 0.0
3522.47 0.0
3522.52 0.0
3522.57 0.0
3522.62 0.0
3522.67 0.0
3522.72 0.0
3522.77 0.0
3522.82 0.0
3522.87 0.0
3522.92 0.0
3522.97 0.0
3523.02 0.0
3523.07 0.0
3523.12 0.0
3523.17 0.0
3523.22 0.0
3523.27 0.0
3523.32 0.0
3523.37 0.0
3523.42 0.0
3523.47 0.0
3523.52 0.0
3523.57 0.0
3523.62 0.0
3523.67 0.0
3523.72 0.0
3523.77 0.0
3523.82 0.0
3523.87 0.0
3523.92 0.0
3523.97 0.0
3524.02 0.0
3524.07 0.0
3524.12 0.0
3524.17 0.0
3524.22 0.0
3524.27 0.0
3524.32 0.0
3524.37 0.0
3524.42 0.0
3524.47 0.0
3524.52 0.0
3524.57 0.0
3524.62 0.0
3524.67 0.0
3524.72 0.0
3524.77 0.0
3524.82 0.0
3524.87 0.0
3524.92 0.0
3524.97 0.0
3525.02 0.0
3525.07 0.0
3525.12 0.0
3525.17 0.0
3525.22 0.0
3525.27 0.0
3525.32 0.0
3525.37 0.0
3525.42 0.0
3525.47 0.0
3525.52 0.0
3525.57 0.0
3525.62 0.0
3525.67 0.0
3525.72 0.0
3525.77 0.0
3525.82 0.0
3525.87 0.0
3525.92 0.0
3525.97 0.0
3526.02 0.0
3526.07 0.0
3526.12 0.0
3526.17 0.0
3526.22 0.0
3526.27 0.0
3526.32 0.0
3526.37 0.0
3526.42 0.0
3526.47 0.0
3526.52 0.0
3526.57 0.0
3526.62 0.0
3526.67 0.0
3526.72 0.0
3526.77 0.0
3526.82 0.0
3526.87 0.0
3526.92 0.0
3526.97 0.0
3527.02 0.0
3527.07 0.0
3527.12 0.0
3527.17 0.0
3527.22 0.0
3527.27 0.0
3527.32 0.0
3527.37 0.0
3527.42 0.0
3527.47 0.0
3527.52 0.0
3527.57 0.0
3527.62 0.0
3527.67 0.0
3527.72 0.0
3527.77 0.0
3527.82 0.0
3527.87 0.0
3527.92 0.0
3527.97 0.0
3528.02 0.0
3528.07 0.0
3528.12 0.0
3528.17 0.0
3528.22 0.0
3528.27 0.0
3528.32 0.0
3528.37 0.0
3528.42 0.0
3528.47 0.0
3528.52 0.0
3528.57 0.0
3528.62 0.0
3528.67 0.0
3528.72 0.0
3528.77 0.0
3528.82 0.0
3528.87 0.0
3528.92 0.0
3528.97 0.0
3529.02 0.0
3529.07 0.0
3529.12 0.0
3529.17 0.0
3529.22 0.0
3529.27 0.0
3529.32 0.0
3529.37 0.0
3529.42 0.0
3529.47 0.0
3529.52 0.0
3529.57 0.0
3529.62 0.0
3529.67 0.0
3529.72 0.0
3529.77 0.0
3529.82 0.0
3529.87 0.0
3529.92 0.0
3529.97 0.0
3530.02 0.0
3530.07 0.0
3530.12 0.0
3530.17 0.0
3530.22 0.0
3530.27 0.0
3530.32 0.0
3530.37 0.0
3530.42 0.0
3530.47 0.0
3530.52 0.0
