wave flux
3522.69 0.0
3522.74 0.0
3522.79 0.0
3522.84 0.0
3522.89 0.0
3522.94 0.0
3522.99 0.0
3523.04 0.0
3523.09 0.0
3523.14 0.0
3523.19 0.0
3523.24 0.0
3523.29 0.0
3523.34 0.0
3523.39 0.0
3523.44 0.0
3523.49 0.0
3523.54 0.0
3523.59 0.0
3523.64 0.0
3523.69 0.0
3523.74 0.0
3523.79 0.0
3523.84 0.0
3523.89 0.0
3523.94 0.0
3523.99 0.0
3524.04 0.0
3524.09 0.0
3524.14 0.0
3524.19 0.0
3524.24 0.0
3524.29 0.0
3524.34 0.0
3524.39 0.0
3524.44 0.0
3524.49 0.0
3524.54 0.0
3524.59 0.0
3524.64 0.0
3524.69 0.0
3524.74 0.0
3524.79 0.0
3524.84 0.0
3524.89 0.0
3524.94 0.0
3524.99 0.0
3525.04 0.0
3525.09 0.0
3525.14 0.0
3525.19 0.0
3525.24 0.0
3525.29 0.0
3525.34 0.0
3525.39 0.0
3525.44 0.0
3525.49 0.0
3525.54 0.0
3525.59 0.0
3525.64 0.0
3525.69 0.0
3525.74 0.0
3525.79 0.0
3525.84 0.0
3525.89 0.0
3525.94 0.0
3525.99 0.0
3526.04 0.0
3526.09 0.0
3526.14 0.0
3526.19 0.0
3526.24 0.0
3526.29 0.0
3526.34 0.0
3526.39 0.0
3526.44 0.0
3526.49 0.0
3526.54 0.0
3526.59 0.0
3526.64 0.0
3526.69 0.0
3526.74 0.0
3526.79 0.0
3526.84 0.0
3526.89 0.0
3526.94 0.0
3526.99 0.0
3527.04 0.0
3527.09 0.0
3527.14 0.0
3527.19 0.0
3527.24 0.0
3527.29 0.0
3527.34 0.0
3527.39 0.0
3527.44 0.0
3527.49 0.0
3527.54 0.0
3527.59 0.0
3527.64 0.0
3527.69 0.0
3527.74 0.0
3527.79 0.0
3527.84 0.0
3527.89 0.0
3527.94 0.0
3527.99 0.0
3528.04 0.0
3528.09 0.0
3528.14 0.0
3528.19 0.0
3528.24 0.0
3528.29 0.0
3528.34 0.0
3528.39 0.0
3528.44 0.0
3528.49 0.0
3528.54 0.0
3528.59 0.0
3528.64 0.0
3528.69 0.0
3528.74 0.0
3528.79 0.0
3528.84 0.0
3528.89 0.0
3528.94 0.0
3528.99 0.0
3529.04 0.0
3529.09 0.0
3529.14 0.0
3529.19 0.0
3529.24 0.0
3529.29 0.0
3529.34 0.0
3529.39 0.0
3529.44 0.0
3529.49 0.0
3529.54 0.0
3529.59 0.0
3529.64 0.0
3529.69 0.0
3529.74 0.0
3529.79 0.0
3529.84 0.0
3529.89 0.0
3529.94 0.0
3529.99 0.0
3530.04 0.0
3530.09 0.0
3530.14 0.0
3530.19 0.0
3530.24 0.0
3530.29 0.0
3530.34 0.0
3530.39 0.0
3530.44 0.0
3530.49 0.0
3530.54 0.0
3530.59 0.0
3530.64 0.0
3530.69 0.0
3530.74 0.0
3530.79 0.0
3530.84 0.0
3530.89 0.0
3530.94 0.0
3530.99 0.0
3531.04 0.0
3531.09 0.0
3531.14 0.0
3531.19 0.0
3531.24 0.0
3531.29 0.0
3531.34 0.0
3531.39 0.0
3531.44 0.0
3531.49 0.0
3531.54 0.0
3531.59 0.0
3531.64 0.0
3531.69 0.0
3531.74 0.0
3531.79 0.0
3531.84 0.0
3531.89 0.0
3531.94 0.0
3531.99 0.0
3532.04 0.0
3532.09 0.0
3532.14 0.0
3532.19 0.0
3532.24 0.0
3532.29 0.0
3532.34 0.0
3532.39 0.0
3532.44 0.0
3532.49 0.0
3532.54 0.0
3532.59 0.0
3532.64 0.0
3532.69 0.0
3532.74 0.0
3532.79 0.0
3532.84 0.0
3532.89 0.0
3532.94 0.0
3532.99 0.0
3533.04 0.0
3533.09 0.0
3533.14 0.0
3533.19 0.0
3533.24 0.0
3533.29 0.0
3533.34 0.0
3533.39 0.0
3533.44 0.0
3533.49 0.0
3533.54 0.0
3533.59 0.0
3533.64 0.0
3533.69 0.0
3533.74 0.0
3533.79 0.0
3533.84 0.0
3533.89 0.0
3533.94 0.0
3533.99 0.0
