wave flux
3519.98 0.0
3520.03 0.0
3520.08 0.0
3520.13 0.0
3520.18 0.0
3520.23 0.0
3520.28 0.0
3520.33 0.0
3520.38 0.0
3520.43 0.0
3520.48 0.0
3520.53 0.0
3520.58 0.0
3520.63 0.0
3520.68 0.0
3520.73 0.0
3520.78 0.0
3520.83 0.0
3520.88 0.0
3520.93 0.0
3520.98 0.0
3521.03 0.0
3521.08 0.0
3521.13 0.0
3521.18 0.0
3521.23 0.0
3521.28 0.0
3521.33 0.0
3521.38 0.0
3521.43 0.0
3521.48 0.0
3521.53 0.0
3521.58 0.0
3521.63 0.0
3521.68 0.0
3521.73 0.0
3521.78 0.0
3521.83 0.0
3521.88 0.0
3521.93 0.0
3521.98 0.0
3522.03 0.0
3522.08 0.0
3522.13 0.0
3522.18 0.0
3522.23 0.0
3522.28 0.0
3522.33 0.0
3522.38 0.0
3522.43 0.0
3522.48 0.0
3522.53 0.0
3522.58 0.0
3522.63 0.0
3522.68 0.0
3522.73 0.0
3522.78 0.0
3522.83 0.0
3522.88 0.0
3522.93 0.0
3522.98 0.0
3523.03 0.0
3523.08 0.0
3523.13 0.0
3523.18 0.0
3523.23 0.0
3523.28 0.0
3523.33 0.0
3523.38 0.0
3523.43 0.0
3523.48 0.0
3523.53 0.0
3523.58 0.0
3523.63 0.0
3523.68 0.0
3523.73 0.0
3523.78 0.0
3523.83 0.0
3523.88 0.0
3523.93 0.0
3523.98 0.0
3524.03 0.0
3524.08 0.0
3524.13 0.0
3524.18 0.0
3524.23 0.0
3524.28 0.0
3524.33 0.0
3524.38 0.0
3524.43 0.0
3524.48 0.0
3524.53 0.0
3524.58 0.0
3524.63 0.0
3524.68 0.0
3524.73 0.0
3524.78 0.0
3524.83 0.0
3524.88 0.0
3524.93 0.0
3524.98 0.0
3525.03 0.0
3525.08 0.0
3525.13 0.0
3525.18 0.0
3525.23 0.0
3525.28 0.0
3525.33 0.0
3525.38 0.0
3525.43 0.0
3525.48 0.0
3525.53 0.0
3525.58 0.0
3525.63 0.0
3525.68 0.0
3525.73 0.0
3525.78 0.0
3525.83 0.0
3525.88 0.0
3525.93 0.0
3525.98 0.0
3526.03 0.0
3526.08 0.0
3526.13 0.0
3526.18 0.0
3526.23 0.0
3526.28 0.0
3526.33 0.0
3526.38 0.0
3526.43 0.0
3526.48 0.0
3526.53 0.0
3526.58 0.0
3526.63 0.0
3526.68 0.0
3526.73 0.0
3526.78 0.0
3526.83 0.0
3526.88 0.0
3526.93 0.0
3526.98 0.0
3527.03 0.0
3527.08 0.0
3527.13 0.0
3527.18 0.0
3527.23 0.0
3527.28 0.0
3527.33 0.0
3527.38 0.0
3527.43 0.0
3527.48 0.0
3527.53 0.0
3527.58 0.0
3527.63 0.0
3527.68 0.0
3527.73 0.0
3527.78 0.0
3527.83 0.0
3527.88 0.0
3527.93 0.0
3527.98 0.0
3528.03 0.0
3528.08 0.0
3528.13 0.0
3528.18 0.0
3528.23 0.0
3528.28 0.0
3528.33 0.0
3528.38 0.0
3528.43 0.0
3528.48 0.0
3528.53 0.0
3528.58 0.0
3528.63 0.0
3528.68 0.0
3528.73 0.0
3528.78 0.0
3528.83 0.0
3528.88 0.0
3528.93 0.0
3528.98 0.0
3529.03 0.0
3529.08 0.0
3529.13 0.0
3529.18 0.0
3529.23 0.0
3529.28 0.0
3529.33 0.0
3529.38 0.0
3529.43 0.0
3529.48 0.0
3529.53 0.0
3529.58 0.0
3529.63 0.0
3529.68 0.0
3529.73 0.0
3529.78 0.0
3529.83 0.0
3529.88 0.0
3529.93 0.0
3529.98 0.0
3530.03 0.0
3530.08 0.0
3530.13 0.0
3530.18 0.0
3530.23 0.0
3530.28 0.0
3530.33 0.0
3530.38 0.0
3530.43 0.0
3530.48 0.0
3530.53 0.0
3530.58 0.0
3530.63 0.0
3530.68 0.0
3530.73 0.0
3530.78 0.0
3530.83 0.0
